player_1_name,player_1_id,player_2_name,player_2_id,table_number,terrain_name
Michael,9,Maximus,17,1,Octarius
Hugo,25,Anders,26,4,Nachmund
Kalle,3,Joel,23,9,Octarius
Robert,28,Lars,12,12,Nachmund
Roberto,10,James,4,7,Morloch
Robin,16,Pontus J,1,14,Into the Dark
Paul,13,Pontus E,2,3,Morloch
Daniel,8,Ola,27,0,Nachmund
Mattias,14,Clara,29,11,Morloch
Jason,21,Jordan,22,6,Into the Dark
Axel,24,Anna,0,8,Nachmund
Carl,15,Ivan,6,10,Into the Dark
Jonas,19,Oscar,18,5,Octarius
Aron,11,Feliks,20,13,Octarius
Anton,7,Will,5,2,Into the Dark
